Month,background,longitude,latitude
December,background,-165942.9115,279891.7936
December,background,-31280.07016,279628.2491
December,background,-51741.14064,279854.1629
December,background,-146883.712,279573.2365
December,background,-238561.9116,278478.0197
December,background,-241240.7391,278007.3381
December,background,-278729.6778,278013.4991
December,background,-128521.4261,277677.7031
December,background,-320819.927,275473.7946
December,background,-299136.9347,274486.348
December,background,-109972.0041,274187.1584
December,background,-232011.8279,273463.2907
December,background,-255512.7832,273503.5891
December,background,-10906.40657,269457.741
December,background,-265220.0577,267978.0156
December,background,-44568.11754,267374.8376
December,background,-37206.87914,266832.418
December,background,-155096.4459,265944.1914
December,background,-307472.0814,264752.1675
December,background,-53221.657,263431.4654
December,background,-82259.87021,260769.7299
December,background,-63643.00293,259824.9087
December,background,-341400.7459,256701.0653
December,background,-4747.620914,256328.8357
December,background,-316368.2118,255340.2742
December,background,-13065.48315,255000.2555
December,background,-147071.8346,255083.33
December,background,-244037.1999,253603.547
December,background,-267368.7787,253134.9004
December,background,-66623.69272,252332.2728
December,background,-22589.39806,249453.0491
December,background,-326908.38,249068.851
December,background,-81712.55745,244959.7861
December,background,-144986.7617,244286.5765
December,background,-144396.0222,244060.959
December,background,-11028.89429,241619.7432
December,background,-343531.0561,241035.5338
December,background,-192682.3772,239022.3161
December,background,-265470.1751,237714.16
December,background,-176499.2705,237690.559
December,background,-252391.5527,236653.9058
December,background,-250601.1307,236722.4432
December,background,-199652.94,236838.3694
December,background,-205789.3982,236174.6355
December,background,-168662.7979,236357.3322
December,background,-202192.7121,235869.4203
December,background,-255856.1005,234501.0692
December,background,-146031.469,234253.1409
December,background,-96415.90143,230203.8816
December,background,-117089.9713,224972.926
December,background,-224939.3433,222287.6756
December,background,-51209.21573,221230.2376
December,background,-205208.4816,220296.729
December,background,-252072.8834,219959.8852
December,background,-128641.8265,219121.2938
December,background,-46105.58233,219101.8658
December,background,-258527.5182,217105.3952
December,background,-120374.4936,216258.1135
December,background,-216885.2714,215391.4565
December,background,-220711.855,215270.0723
December,background,-253779.9275,214651.8205
December,background,-184336.6482,208850.9207
December,background,-9840.273412,206190.7702
December,background,-39349.12467,206125.0924
December,background,-208994.149,206075.7895
December,background,-82489.49608,205191.0703
December,background,-230265.6914,201969.4827
December,background,-307260.1677,200949.1972
December,background,-236915.0423,200936.0209
December,background,-270704.3383,199858.0979
December,background,-138500.213,199570.2723
December,background,-156898.4893,198874.481
December,background,-258510.895,198308.848
December,background,-128509.1267,197259.847
December,background,-15307.57727,196593.4295
December,background,-14851.62098,196877.0131
December,background,-307487.7328,195746.8495
December,background,-239193.8163,194876.4933
December,background,-239950.7873,192775.4622
December,background,-125319.6168,193010.5997
December,background,-115729.138,191546.4952
December,background,-291360.9363,190735.8196
December,background,-8410.157185,188899.1941
December,background,-22083.10952,188583.6067
December,background,-209992.2828,188120.7399
December,background,-304830.5667,187860.8441
December,background,-57679.42907,187379.6724
December,background,-134815.019,187186.2906
December,background,-13930.51358,185205.0698
December,background,-298134.9774,182491.6858
December,background,-12554.07176,180854.3515
December,background,-61396.85848,180120.9364
December,background,-280777.659,176977.3975
December,background,-109862.8527,175421.9681
December,background,-121995.5892,174155.9584
December,background,-244696.2821,171883.2975
December,background,-230002.8268,170946.3824
December,background,-176236.2277,169582.3756
December,background,-92965.77515,168965.7842
December,background,-252814.3484,168409.8321
December,background,-39314.86507,168212.0346
December,background,-262296.776,167356.6327
December,background,-176511.7097,167236.7205
December,background,-131040.2451,166616.365
December,background,-312935.2836,166503.354
December,background,-210188.618,164569.4264
December,background,-206769.1122,164041.5011
December,background,-70766.82687,162251.025
December,background,-58145.77129,161221.274
December,background,-160354.1736,161398.2363
December,background,-318510.7852,161369.9763
December,background,-276936.7621,158819.9818
December,background,-27419.84942,157952.6755
December,background,-81379.05867,156381.3689
December,background,-137836.9704,156581.0814
December,background,-297006.7054,153662.2859
December,background,-223906.7872,153158.3214
December,background,-218251.9322,151465.0659
December,background,-130436.1746,151190.4211
December,background,-199096.2196,150597.2944
December,background,-60040.34387,144617.6852
December,background,-302712.8228,143921.9198
December,background,-118316.5563,143369.1647
December,background,-176878.3914,143349.8694
December,background,-140202.8935,142250.3346
December,background,-2234.393235,141700.742
December,background,-200302.5731,140882.8978
December,background,-279223.0952,138785.2784
December,background,-264723.5796,137598.1198
December,background,-249743.0273,136942.3767
December,background,-9732.109515,135686.6456
December,background,-297953.9132,135799.3874
December,background,-93596.12439,135399.3659
December,background,-239714.5124,134747.0008
December,background,-211519.3936,134110.769
December,background,-34402.84202,132726.3365
December,background,-159871.3401,131748.5869
December,background,-74119.70332,131341.9329
December,background,-133040.5425,130608.2297
December,background,-214088.753,130650.1249
December,background,-306089.3586,130331.1706
December,background,-16330.30539,127182.7462
December,background,-149912.9094,122842.3905
December,background,-142851.3699,120031.781
December,background,-116832.4489,119399.644
December,background,-183413.2129,118503.5116
December,background,-184173.9951,116197.761
December,background,-228308.0577,115018.5915
December,background,-312983.1512,114401.0772
December,background,-43483.67073,114149.6113
December,background,-18297.72538,111796.0675
December,background,-46615.00673,110104.8513
December,background,-175064.5155,109374.68
December,background,-43452.91017,108540.2089
December,background,-72650.57678,108186.7254
December,background,-63240.85992,107894.5004
December,background,-244482.6824,108134.7621
December,background,-22503.16955,107588.5378
December,background,-304242.2497,106643.7843
December,background,-12710.96436,105968.8961
December,background,-258426.865,105646.3898
December,background,-316265.1577,105800.658
December,background,-169775.5542,104069.9826
December,background,-225733.8245,103610.9456
December,background,-2322.110385,103211.0386
December,background,-287717.0585,102493.3431
December,background,-102528.21,98913.89663
December,background,-225636.9913,98414.83967
December,background,-211955.348,98632.8725
December,background,-3372.992714,97747.72668
December,background,-272806.5391,97274.7117
December,background,10255.51179,96352.88559
December,background,-165988.0737,96185.65457
December,background,-39328.95109,94823.85692
December,background,-212431.7945,95155.24722
December,background,-212254.7077,94705.00341
December,background,-305599.3316,92426.98531
December,background,7055.414621,92026.79853
December,background,-69645.67808,91422.38242
December,background,-80148.1683,89958.61347
December,background,-194342.4652,88256.26395
December,background,-216136.6757,86836.81476
December,background,-157290.6497,86882.1533
December,background,-238715.6466,84734.50019
December,background,-11261.00518,83626.3817
December,background,22518.97749,83660.29313
December,background,-279531.1061,81136.21506
December,background,-108933.1133,80277.23803
December,background,-3412.38107,77740.11683
December,background,-35793.9667,76360.96836
December,background,-90966.36857,75694.97058
December,background,-238967.004,73007.06133
December,background,30061.70644,73106.29198
December,background,-208577.6678,72321.91452
December,background,-112386.9793,72652.80274
December,background,-77386.30772,71882.51775
December,background,-90378.72126,70786.09307
December,background,10446.03617,70314.45075
December,background,-49297.84403,69439.95789
December,background,-76706.69898,69487.82069
December,background,-70649.1214,69258.19902
December,background,-265944.0694,65738.08959
December,background,-180687.2671,64727.50405
December,background,-280376.9842,63818.45082
December,background,-153445.6212,63249.28885
December,background,-48607.38527,63336.33714
December,background,1277.755341,59749.6096
December,background,-176561.1461,58688.79643
December,background,-147962.176,57968.85172
December,background,-139006.3991,58102.32233
December,background,-30217.51702,58099.05347
December,background,30953.49111,57323.37322
December,background,42408.9257,57262.88597
December,background,-235922.1366,55907.82889
December,background,-265907.8245,54587.76672
December,background,-216667.9214,54474.80257
December,background,-13044.76747,53780.78056
December,background,-209632.4208,53396.22302
December,background,-268707.5487,53016.86752
December,background,-44060.86378,51039.41563
December,background,-161395.0941,50042.60174
December,background,-157660.7907,47052.95975
December,background,-165409.5525,46353.17346
December,background,-147115.7496,45443.23691
December,background,-237007.7033,44866.86367
December,background,38344.31683,42511.54584
December,background,-156435.9937,42541.44144
December,background,-152237.6174,40888.49472
December,background,-38309.90813,40105.97841
December,background,-176843.8833,40315.16417
December,background,-164025.4418,40174.19109
December,background,16534.7965,37547.97171
December,background,-255130.3579,36546.84842
December,background,-15506.50901,34947.49149
December,background,-49227.68799,33390.31699
December,background,60455.57126,33320.83223
December,background,-68556.52838,31647.44404
December,background,-107796.704,31391.11194
December,background,-53378.6258,30582.7296
December,background,81465.78533,30678.74134
December,background,-194864.0887,30094.22156
December,background,11120.40612,26421.94627
December,background,-230999.3316,25795.97795
December,background,-58205.75473,26048.6703
December,background,-47695.01286,26140.24538
December,background,-46602.7543,26058.01518
December,background,-119048.4229,25692.13276
December,background,-256597.3372,24807.97558
December,background,93584.11957,24363.12911
December,background,-155855.7495,24141.0989
December,background,51091.24663,23277.10443
December,background,100434.6827,19860.15612
December,background,-90914.03809,17427.00009
December,background,90030.17808,13739.15938
December,background,51278.21551,12305.31941
December,background,-93587.09752,10495.28213
December,background,21329.83573,10290.6
December,background,54546.8139,8542.027666
December,background,96843.40375,8163.414325
December,background,-73879.02073,7868.57643
December,background,71295.61042,7482.829526
December,background,-122310.6133,4927.703691
December,background,14954.14145,4311.149712
December,background,-167258.9313,-175.7054841
December,background,-13902.13154,-23.75990168
December,background,-219785.7881,-2890.835619
December,background,-11926.38549,-7233.167663
December,background,13320.02385,-7825.227612
December,background,-140412.6536,-7855.920954
December,background,-202489.6321,-9169.933375
December,background,-237771.0119,-9379.094976
December,background,-3232.33652,-10472.20046
December,background,-222617.558,-11299.96571
December,background,97743.74954,-12078.71901
December,background,-32184.20445,-12163.08199
December,background,-23057.85338,-12356.07721
December,background,70793.63289,-13091.03716
December,background,10450.74441,-13751.18171
December,background,-58751.12405,-14961.84038
December,background,-112231.1429,-15316.28126
December,background,-97557.64662,-15112.49587
December,background,-223181.4853,-15823.57011
December,background,114983.2201,-15932.56219
December,background,-61750.06085,-16204.9548
December,background,-62810.93724,-16083.28635
December,background,36161.41115,-17636.07765
December,background,15070.72133,-17957.66051
December,background,75973.64863,-19792.21913
December,background,58878.51996,-20387.0235
December,background,-143.0775952,-20458.55142
December,background,18921.87582,-21124.00648
December,background,-11491.90584,-24531.66349
December,background,-197610.9836,-24793.29607
December,background,92152.65607,-25293.56381
December,background,-137238.5793,-25505.7262
December,background,-131502.7327,-25744.69315
December,background,-8694.295725,-26988.8267
December,background,-3536.565283,-27295.21315
December,background,-161960.7434,-27760.38421
December,background,-194891.961,-27765.65421
December,background,-32847.7939,-28799.39158
December,background,-163967.3813,-35781.21916
December,background,91490.40147,-36615.70446
December,background,-108874.0916,-37092.28244
December,background,-110021.9976,-36845.7576
December,background,-178323.1446,-40730.04996
December,background,-79499.03551,-41436.639
December,background,68050.74026,-41315.45271
December,background,169405.1952,-43673.15121
December,background,-212544.4917,-43960.09976
December,background,-85721.85724,-44524.83346
December,background,-207105.5045,-46162.50418
December,background,68115.17394,-46851.29612
December,background,-58739.37723,-47432.29004
December,background,127618.1687,-47304.40053
December,background,-150218.5358,-48182.04275
December,background,-89050.73968,-49206.429
December,background,63909.07252,-50430.11974
December,background,51850.33884,-50356.01932
December,background,-113461.3418,-51189.5307
December,background,-98216.05237,-51744.98527
December,background,-143717.7794,-52585.58514
December,background,-117015.9363,-55291.42398
December,background,-71044.23443,-55856.75959
December,background,79082.37301,-55870.77122
December,background,72673.69509,-55493.02524
December,background,-13966.99266,-56212.74468
December,background,-46142.99358,-58202.07732
December,background,-75040.17479,-58163.21871
December,background,-36220.94924,-58214.37991
December,background,-58225.80973,-58425.47409
December,background,142943.8671,-60076.41389
December,background,-123227.6746,-60016.10812
December,background,-196744.0975,-61421.63844
December,background,-79849.33032,-64344.15255
December,background,-88390.58659,-65222.71726
December,background,-33993.73027,-65561.1673
December,background,-126137.4634,-65967.62898
December,background,157206.638,-65531.18058
December,background,145014.7485,-67042.22278
December,background,-160095.0841,-69839.98953
December,background,-188948.6368,-70389.89894
December,background,-186196.6375,-71571.42525
December,background,37126.61196,-72778.05658
December,background,30178.77514,-72824.94398
December,background,-67499.39484,-73008.36004
December,background,-210151.2014,-73550.78494
December,background,-128516.4759,-74631.5733
December,background,-160827.6113,-75816.73328
December,background,-210149.2255,-77374.52824
December,background,191466.9082,-78462.67528
December,background,-118599.8827,-78814.24366
December,background,-128516.8069,-80057.36804
December,background,-145959.9203,-81447.28295
December,background,-57419.20253,-82088.21118
December,background,200445.1504,-82543.36002
December,background,206137.1828,-82530.94341
December,background,-188421.3445,-84738.3673
December,background,10611.92657,-85873.8268
December,background,-84897.58617,-86599.97766
December,background,168265.6902,-86874.44742
December,background,-181507.6262,-86753.14789
December,background,82282.38349,-90782.823
December,background,165150.4609,-93891.97877
December,background,21064.36211,-93824.93561
December,background,-160063.8813,-94621.91279
December,background,-106460.1459,-94716.35499
December,background,-196030.3563,-95257.03478
December,background,211425.1974,-95346.36914
December,background,42221.39498,-97125.18464
December,background,84648.40485,-97390.28962
December,background,-174798.1136,-97918.57825
December,background,26079.52279,-98297.80374
December,background,162940.9843,-99324.46125
December,background,-139123.4327,-100170.2858
December,background,-51274.0088,-100288.7753
December,background,33229.11242,-102148.7263
December,background,27376.8387,-103136.9333
December,background,80227.20773,-105563.4343
December,background,181913.5187,-106086.325
December,background,-15888.33304,-105943.7493
December,background,54127.32338,-106636.9777
December,background,-165230.4574,-106943.8663
December,background,399.8836627,-107548.8709
December,background,69791.03064,-107397.6945
December,background,14413.10941,-108626.7133
December,background,-92063.04509,-108934.2005
December,background,-18014.31026,-109501.0269
December,background,213554.3006,-114099.6963
December,background,10344.39277,-113998.7175
December,background,-81927.68429,-115859.78
December,background,15239.21369,-116110.165
December,background,129967.3534,-116127.304
December,background,-9145.4283,-116635.1878
December,background,-130735.665,-116946.6866
December,background,215870.1751,-116906.3416
December,background,58632.39605,-119766.761
December,background,-27045.49576,-121094.7077
December,background,57368.85501,-121433.6542
December,background,105458.592,-121825.1743
December,background,-49085.65832,-122257.9805
December,background,196577.3043,-122851.6426
December,background,-97105.23794,-123173.5318
December,background,16252.26465,-123156.8484
December,background,52370.58535,-125312.9131
December,background,-131856.5717,-125866.3045
December,background,-78700.92148,-125621.0543
December,background,-116690.109,-126169.645
December,background,60613.49917,-128772.7507
December,background,108812.3487,-129341.2082
December,background,238168.1226,-129659.0612
December,background,210206.6217,-129939.473
December,background,198156.6984,-130357.6884
December,background,-7098.857217,-131109.5736
December,background,-152660.332,-130956.1449
December,background,-76238.51197,-131277.2168
December,background,247047.8933,-132699.6429
December,background,182544.6199,-133459.2256
December,background,64563.29027,-133248.3431
December,background,263683.0665,-134319.4228
December,background,130599.6283,-134846.3558
December,background,4494.262391,-135563.9893
December,background,180232.047,-135461.4007
December,background,181939.5917,-136254.6583
December,background,146124.7331,-137559.6306
December,background,-30927.35698,-138277.5665
December,background,108524.8439,-138985.7055
December,background,278615.3771,-139742.2171
December,background,235836.209,-140623.7598
December,background,242569.7933,-140528.7064
December,background,-26796.86375,-140969.4233
December,background,43028.39662,-141787.8449
December,background,175149.8443,-141807.5149
December,background,111562.027,-141652.0967
December,background,103852.9184,-142269.1827
December,background,112672.2622,-142917.2003
December,background,212504.1444,-143676.9475
December,background,-120556.9451,-143393.7016
December,background,-95847.58745,-143968.003
December,background,184758.2507,-145671.4138
December,background,32554.55872,-146847.5885
December,background,-134921.7073,-147296.4128
December,background,156974.6954,-152748.3534
December,background,74933.17525,-153355.6274
December,background,-171836.099,-153898.9476
December,background,66002.01674,-154294.3787
December,background,42791.66555,-154124.4069
December,background,-157237.9295,-154925.9771
December,background,27276.97658,-155895.8055
December,background,-66219.27374,-156697.7542
December,background,19197.74551,-157368.3031
December,background,-18506.69413,-157826.7173
December,background,26596.19066,-158550.4551
December,background,-72358.16761,-158542.9
December,background,-26384.13234,-159186.0138
December,background,297899.4738,-160629.1749
December,background,97826.30817,-161434.3532
December,background,64156.19237,-161542.7962
December,background,69637.60667,-161808.1197
December,background,226728.4427,-162246.2449
December,background,-158838.4072,-163460.2216
December,background,293304.5625,-163960.7161
December,background,-46896.19193,-163950.9927
December,background,196476.4601,-165387.4436
December,background,54548.5278,-166535.5333
December,background,-158320.567,-167116.5966
December,background,-150971.8532,-167741.8901
December,background,-11265.56354,-167336.672
December,background,289264.2637,-167939.9104
December,background,30636.83671,-168334.1267
December,background,272514.6751,-170343.635
December,background,218984.6707,-170982.2674
December,background,234689.9325,-170677.1868
December,background,-27964.58225,-171148.5069
December,background,-47233.59778,-171690.1321
December,background,44509.00071,-171618.9461
December,background,-148017.2457,-172031.8174
December,background,-12288.24716,-171860.6397
December,background,142717.7075,-171875.6977
December,background,137553.6732,-171818.817
December,background,301210.2353,-172336.1306
December,background,-143289.4075,-174433.2434
December,background,288148.4902,-175894.0944
December,background,85679.47093,-176653.066
December,background,224980.6114,-177231.414
December,background,64306.17569,-177503.6227
December,background,238356.9278,-178997.1366
December,background,141000.5889,-180385.7122
December,background,-122770.0275,-183442.011
December,background,258926.9226,-184709.7456
December,background,-152464.2952,-186870.8999
December,background,-81113.85248,-187673.9321
December,background,-28520.33575,-188014.7343
December,background,157194.8002,-188196.5097
December,background,301530.5846,-188415.3668
December,background,-144686.813,-189033.4536
December,background,12430.52041,-189565.5667
December,background,-120779.9903,-189725.9266
December,background,-142839.3248,-191458.3779
December,background,-118484.6809,-192001.898
December,background,56689.37265,-191762.7355
December,background,-32859.72195,-192357.6126
December,background,309175.8282,-193827.6398
December,background,-114829.9923,-194446.744
December,background,-131366.3255,-196384.3152
December,background,335139.0875,-196504.0331
December,background,-139216.8058,-196815.5193
December,background,78052.50232,-198941.962
December,background,57041.36719,-198673.3354
December,background,69114.50743,-199400.506
December,background,-96885.53747,-199596.1882
December,background,-62768.42754,-199775.8937
December,background,38452.52637,-200380.1145
December,background,-153430.5887,-200157.7724
December,background,-52466.27207,-201560.4567
December,background,-103589.8887,-202109.394
December,background,209266.9529,-201870.6515
December,background,223507.9696,-203031.7834
December,background,66508.16399,-203982.2319
December,background,218057.4091,-204879.9555
December,background,294950.2607,-205606.2083
December,background,15861.44047,-205310.5392
December,background,-56336.94714,-205559.4555
December,background,-131839.3524,-205928.8979
December,background,134296.5255,-209890.3867
December,background,121348.3618,-209938.1337
December,background,253680.2933,-210308.2461
December,background,44374.49623,-210464.1116
December,background,-51543.30593,-210901.602
December,background,-50618.65268,-211091.2572
December,background,-117800.1277,-211857.2866
December,background,-72437.24048,-212519.2703
December,background,265839.3396,-212757.8685
December,background,245159.8678,-212716.5676
December,background,-36017.35891,-213530.1875
December,background,149519.7893,-213956.7607
December,background,-56476.33144,-214448.5952
December,background,93187.18015,-214514.1794
December,background,208150.7604,-214829.9467
December,background,223283.0261,-215380.465
December,background,314824.4376,-216007.982
December,background,-108931.3945,-216789.405
December,background,137489.1247,-218589.2599
December,background,-49775.04097,-220221.8431
December,background,272161.9391,-220727.6345
December,background,206566.5223,-222320.7098
December,background,221490.2552,-222596.9446
December,background,-8693.094022,-222804.0113
December,background,359789.5094,-223150.3244
December,background,-133455.4801,-224365.7784
December,background,245625.7729,-224316.1176
December,background,143513.8344,-224405.8598
December,background,-111494.1479,-226657.1692
December,background,-107433.9129,-226875.987
December,background,260615.5342,-228003.2136
December,background,185468.4955,-228568.3309
December,background,339692.8374,-228258.9379
December,background,339487.4051,-229374.1163
December,background,-91400.33234,-230048.4027
December,background,339477.2179,-230590.4508
December,background,215381.4095,-230262.3016
December,background,-125411.5413,-230265.8185
December,background,-105612.7282,-232157.3643
December,background,-100065.4374,-233297.1216
December,background,-22862.0881,-233761.2139
December,background,28818.47324,-234318.7088
December,background,330977.7904,-234800.6684
December,background,-112334.8578,-235801.3715
December,background,11943.5896,-235885.5471
December,background,306458.8493,-236001.2292
December,background,161821.5247,-238285.9489
December,background,256714.2024,-239587.7671
December,background,239551.8848,-241165.2261
December,background,317480.0817,-241153.4201
December,background,216263.405,-240998.6043
December,background,186355.8636,-242576.629
December,background,251175.7034,-243104.5975
December,background,-76528.62197,-243441.87
December,background,-34017.75433,-244035.5696
December,background,268944.8214,-244147.2053
December,background,5428.5113,-244103.3146
December,background,367604.7157,-244622.1048
December,background,116936.6958,-244993.4976
December,background,170891.5343,-244701.1739
December,background,273206.485,-244813.3329
December,background,-89960.29411,-246240.0418
December,background,384683.1761,-247537.4701
December,background,250773.9664,-248480.6054
December,background,187277.724,-248815.2935
December,background,401069.9617,-248559.2735
December,background,244128.3038,-249344.176
December,background,373223.2754,-250766.1039
December,background,34311.18671,-251066.7159
December,background,146377.0643,-251595.8361
December,background,-57260.83493,-251710.2547
December,background,-28576.22926,-252049.3839
December,background,2238.441205,-253139.9187
December,background,213235.2072,-253218.5955
December,background,106328.9491,-255002.9211
December,background,129508.9441,-255153.7218
December,background,189330.413,-256993.4859
December,background,71451.64802,-258339.5654
December,background,111479.5564,-258041.5502
December,background,184672.9278,-258947.4319
December,background,89484.13953,-259582.4151
December,background,-55557.08474,-259659.2256
December,background,90346.43025,-260778.8332
December,background,198921.2731,-261730.3519
December,background,358765.9038,-261997.4008
December,background,256450.5393,-262737.4124
December,background,-32729.98799,-262327.0453
December,background,294662.7633,-263298.2975
December,background,-37128.17111,-264538.1105
December,background,383903.4768,-265529.3705
December,background,403073.9587,-266788.513
December,background,-12770.44312,-267305.3006
December,background,299854.3363,-271189.2204
December,background,379188.6146,-271362.4791
December,background,94792.39528,-272175.4617
December,background,275755.8867,-273028.3037
December,background,398430.4461,-273260.799
December,background,-34635.18145,-273079.0741
December,background,190267.9569,-274466.6626
December,background,248586.5205,-274814.6721
December,background,157500.5763,-275693.1127
December,background,339784.1741,-276313.2449
December,background,122452.4126,-276338.7919
December,background,286139.6428,-277708.7732
December,background,29846.57131,-278081.4078
December,background,-82009.8553,-277961.0454
December,background,9913.929612,-278382.7234
December,background,290469.3693,-278288.7653
December,background,167011.4344,-279546.7843
December,background,275675.1279,-279733.3208
December,background,315675.2374,-279831.5545
December,background,438291.3838,-280288.8034
December,background,168049.881,-281832.9903
December,background,-26560.12587,-283041.0653
December,background,1242.92837,-283752.9436
December,background,-74119.54221,-284230.1677
December,background,197535.5313,-283932.133
December,background,306051.6905,-284742.6288
December,background,3153.908866,-284715.2053
December,background,161132.3794,-284989.9849
December,background,278095.6951,-285030.2705
December,background,-43937.03235,-287144.8658
December,background,-21312.91769,-287877.3319
December,background,16560.52023,-288320.0204
December,background,402838.9356,-288937.0088
December,background,364863.985,-288740.1694
December,background,152720.4897,-289128.7425
December,background,266621.5781,-290942.6964
December,background,-4232.97297,-291124.994
December,background,203795.4231,-292382.9155
